date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,13.17,13.46,13.18,13.03,2064149.75,0.08,0.61,13.006,12.499,11.951,1775045.08,2069795.86,1452247.98,1.22
2017-11-16,12.9,13.12,13.1,12.67,1200814.75,0.2,1.55,12.83,12.32,11.866,1713725.6,1937715.2,1372130.89,0.71
2017-11-15,12.9,13.13,12.9,12.77,1263052.25,-0.05,-0.39,12.676,12.164,11.792,1932620.5,1878064.58,1348228.4,0.75
2017-11-14,12.95,13.26,12.95,12.81,1780302.38,0.05,0.39,12.522,12.014,11.732,2532575.15,1821021.15,1328644.05,1.05
2017-11-13,12.35,13.1,12.9,12.35,2566906.25,0.6,4.88,12.316,11.873,11.66,2671947.33,1705740.05,1264947.55,1.52
2017-11-10,12.37,12.55,12.3,12.15,1757552.38,-0.03,-0.24,11.992,11.739,11.594,2364546.64,1576874.12,1188414.77,1.04
2017-11-09,12.2,12.57,12.33,12.15,2295289.25,0.2,1.65,11.81,11.665,11.547,2161704.8,1537127.52,1137405.95,1.36
2017-11-08,12.0,12.59,12.13,11.93,4262825.5,0.21,1.76,11.652,11.55,11.508,1823508.65,1400498.2,1051544.75,2.52
2017-11-07,11.27,12.09,11.92,11.25,2477163.25,0.64,5.67,11.506,11.464,11.478,1109467.14,1016073.01,871307.36,1.46
2017-11-06,11.42,11.42,11.28,11.09,1029902.81,-0.11,-0.97,11.43,11.411,11.456,739532.76,830243.88,784845.46,0.61
2017-11-03,11.49,11.68,11.39,11.35,743343.19,-0.15,-1.3,11.486,11.402,11.457,789201.6,834700.1,799611.68,0.44
2017-11-02,11.36,11.58,11.54,11.26,604308.5,0.14,1.23,11.52,11.411,11.443,912550.24,806546.59,796558.52,0.36
2017-11-01,11.56,11.59,11.4,11.32,692617.94,-0.14,-1.21,11.448,11.42,11.41,977487.75,818392.22,792204.1,0.41
2017-10-31,11.55,11.58,11.54,11.39,627491.38,-0.02,-0.17,11.422,11.449,11.386,922678.88,836266.96,793932.61,0.37
2017-10-30,11.55,11.73,11.56,11.45,1278247.0,0.0,0.0,11.392,11.446,11.362,920954.99,824155.06,810931.09,0.76
2017-10-27,11.19,11.56,11.56,11.18,1360086.38,0.38,3.4,11.318,11.449,11.348,880198.59,799955.42,773638.29,0.8
2017-10-26,11.25,11.32,11.18,11.12,928996.06,-0.09,-0.8,11.302,11.429,11.342,700542.94,737684.38,735330.35,0.55
2017-10-25,11.36,11.37,11.27,11.25,418573.59,-0.12,-1.05,11.392,11.466,11.356,659296.69,702591.31,723500.95,0.25
2017-10-24,11.2,11.42,11.39,11.18,618871.94,0.2,1.79,11.476,11.492,11.357,749855.04,726541.71,741930.0,0.37
2017-10-23,11.39,11.4,11.19,11.15,1074465.0,-0.29,-2.53,11.5,11.5,11.344,727355.12,739447.04,749197.04,0.64
2017-10-20,11.59,11.59,11.48,11.41,461808.09,-0.15,-1.29,11.58,11.511,11.347,719712.24,764523.26,725854.44,0.27
2017-10-19,11.64,11.72,11.63,11.57,722764.81,-0.06,-0.51,11.556,11.474,11.338,774825.82,786570.46,735068.77,0.43
2017-10-18,11.53,11.7,11.69,11.51,871365.38,0.18,1.56,11.54,11.399,11.322,745885.92,766015.98,743084.92,0.52
2017-10-17,11.62,11.65,11.51,11.48,506372.31,-0.08,-0.69,11.508,11.323,11.309,703228.37,751598.26,732928.52,0.3
2017-10-16,11.36,11.6,11.59,11.29,1036250.62,0.23,2.02,11.5,11.277,11.311,751538.96,797707.12,749919.08,0.61
2017-10-13,11.56,11.56,11.36,11.25,737376.0,-0.19,-1.65,11.442,11.247,11.3,809334.29,747321.16,733080.18,0.44
2017-10-12,11.54,11.58,11.55,11.47,578065.31,0.02,0.17,11.392,11.255,11.307,798315.1,732976.32,720275.19,0.34
2017-10-11,11.48,11.58,11.53,11.34,658077.62,0.06,0.52,11.258,11.246,11.301,786146.04,744410.59,722081.29,0.39
2017-10-10,11.33,11.5,11.47,11.33,747925.25,0.17,1.5,11.138,11.222,11.31,799968.15,757318.3,728758.48,0.44
2017-10-09,11.57,11.64,11.3,11.26,1325227.25,0.19,1.71,11.054,11.188,11.318,843875.28,758947.04,755738.16,0.78
2017-09-29,10.92,11.16,11.11,10.86,682280.06,0.23,2.11,11.052,11.183,11.339,685308.04,687185.61,757093.08,0.4
2017-09-28,10.98,10.98,10.88,10.82,517220.0,-0.05,-0.46,11.118,11.201,11.344,667637.55,683567.08,770977.92,0.31
